State/UT,District,Year,MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,ROBBERY,BURGLARY,RIOTS,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL CRIMES
A & N ISLANDS,A and N ISLANDS,2001,22,1,13,13,6,7,5,323,9,0,204,0,196,928,1714
A & N ISLANDS,ANDAMAN,2001,50,0,78,20,11,9,67,367,119,15,96,0,107,2376,3295
A & N ISLANDS,ANDAMAN,2001,89,0,68,22,18,4,35,285,48,41,88,0,0,2558,3234
A & N ISLANDS,ANDAMAN,2001,13,0,20,2,2,0,2,52,6,0,4,0,14,467,580
A & N ISLANDS,ANDAMAN,2001,71,4,124,17,15,2,50,448,171,7,95,0,116,2438,3541
A & N ISLANDS,ANDAMAN,2001,84,5,59,46,22,24,144,939,170,20,49,0,189,2680,4385
A & N ISLANDS,ANDAMAN,2001,14,0,28,2,2,0,3,43,23,9,27,0,0,349,498
A & N ISLANDS,ANDAMAN,2001,53,27,65,16,13,3,31,253,33,9,31,0,0,1240,1758
A & N ISLANDS,ANDAMAN,2001,111,1,84,50,35,15,112,874,129,25,161,0,269,6567,8383
A & N ISLANDS,ANDAMAN,2001,6,2,2,0,0,0,7,3,2,0,0,0,0,108,130
A & N ISLANDS,ANDAMAN,2001,103,28,108,33,20,13,126,596,112,28,81,0,186,3468,4869
ANDHRA PRADESH,ADILABAD,2001,33,1,8,8,2,6,2,99,36,0,121,0,175,880,1363
ANDHRA PRADESH,ADILABAD,2001,158,5,53,81,25,56,23,266,330,52,165,0,269,2314,3716
ANDHRA PRADESH,ADILABAD,2001,77,1,61,41,21,20,15,257,96,15,348,0,354,1609,2874
ANDHRA PRADESH,ADILABAD,2001,11,0,1,3,2,1,4,18,0,0,0,0,0,54,91
ANDHRA PRADESH,ADILABAD,2001,3,0,2,4,4,0,5,18,0,0,2,0,0,45,79
ANDHRA PRADESH,ADILABAD,2001,3,0,2,7,5,2,6,8,0,0,0,0,0,28,54
ANDHRA PRADESH,ADILABAD,2001,4,0,0,2,2,0,0,6,0,0,0,0,0,30,42
ANDHRA PRADESH,ADILABAD,2001,16,1,2,6,6,0,8,20,3,0,0,0,0,38,94
ANDHRA PRADESH,ADILABAD,2001,11,0,9,15,5,10,29,59,9,0,3,0,0,129,264
ANDHRA PRADESH,ADILABAD,2001,7,0,5,11,7,4,8,25,1,0,2,0,0,54,113
ANDHRA PRADESH,ADILABAD,2001,1,0,2,5,5,0,0,5,1,0,0,0,0,11,25
ANDHRA PRADESH,ADILABAD,2001,5,0,4,17,10,7,10,34,2,0,2,0,0,89,163
ANDHRA PRADESH,ANANTAPUR,2001,33,1,34,0,0,0,16,240,301,0,127,0,0,2352,3104
ANDHRA PRADESH,ANANTAPUR,2001,26,4,42,12,7,5,18,277,831,0,157,0,0,2776,4143
ANDHRA PRADESH,ANANTAPUR,2001,18,2,28,4,1,3,9,132,683,0,66,0,0,1277,2219
ANDHRA PRADESH,ANANTAPUR,2001,41,21,55,16,9,7,62,334,575,3,315,0,0,4645,6067
ANDHRA PRADESH,ANANTAPUR,2001,34,3,22,18,12,6,54,319,347,2,82,0,0,3602,4483
ANDHRA PRADESH,ANANTAPUR,2001,34,8,39,12,10,2,15,448,1127,2,319,0,0,4012,6016
ANDHRA PRADESH,ANANTAPUR,2001,23,5,71,17,4,13,11,288,663,3,448,0,0,4011,5540
ANDHRA PRADESH,ANANTAPUR,2001,45,14,63,14,10,4,30,342,608,5,215,0,0,2749,4085
ANDHRA PRADESH,ANANTAPUR,2001,20,16,12,0,0,0,7,144,224,0,95,0,0,2266,2784
ANDHRA PRADESH,ANANTAPUR,2001,0,0,1,0,0,0,2,1,39,0,0,0,0,39,82
ANDHRA PRADESH,ANANTAPUR,2001,42,20,42,18,9,9,82,406,577,2,198,0,0,6456,7843
ANDHRA PRADESH,ANANTAPUR,2001,53,6,57,41,21,20,104,597,892,6,210,0,0,5336,7302
ARUNACHAL PRADESH,ANJAW,2001,42,1,95,12,9,3,35,135,161,7,49,0,93,1967,2597
ARUNACHAL PRADESH,ANJAW,2001,58,0,70,21,13,8,54,233,42,4,53,0,69,1530,2134
ARUNACHAL PRADESH,ANJAW,2001,53,0,31,26,18,8,67,706,149,18,56,0,127,2291,3524
ARUNACHAL PRADESH,ANJAW,2001,84,0,141,30,16,14,53,473,151,29,142,0,106,2553,3762
ASSAM,BAKSA,2001,64,0,13,30,23,7,42,137,286,5,69,0,264,1302,2212
BIHAR,ARARIA,2001,19,0,25,3,2,1,19,130,30,2,21,0,0,1231,1480
BIHAR,ARARIA,2001,47,0,112,10,6,4,20,174,77,13,56,0,49,1536,2094
BIHAR,ARARIA,2001,2425,125,2851,956,668,288,1764,13549,3395,609,2562,0,3297,85143,116676
BIHAR,ARARIA,2001,97,1,44,37,25,12,104,312,266,0,496,0,479,975,2811
BIHAR,ARARIA,2001,64,0,15,15,14,1,41,298,99,2,189,0,116,1306,2145
BIHAR,ARARIA,2001,44,3,23,27,23,4,48,259,95,10,55,0,60,796,1420
BIHAR,ARARIA,2001,72,0,42,29,25,4,36,359,112,4,92,0,126,640,1512
