States/UTs,District,Year,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_Political,Riots_Caste Conflict,Riots_SC/STs Vs Non-SCs/STs,Riots_Other Caste Conflict,Riots_Agrarian,Riots_Students,Riots_Sectarian,Riots_Others,Criminal Breach of Trust,Cheating,Forgery,Acid attack,Dowry Deaths,Sexual Harassment,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Deaths due to negligent driving/act,Incidence of Rash Driving,HumanTrafficking,Other IPC crimes,Total Cognizable IPC crimes
Andhra Pradesh,Anantapur,2014,134,171,8,0,35,0,0,0,35,0,35,1,125,0,0,0,88,37,6,0,6,0,30,415,315,100,753,240,513,0,214,0,0,0,0,0,0,0,0,0,214,13,296,0,1,25,82,165,0,638,1038,0,3800,7985
Andhra Pradesh,Chittoor,2014,84,170,2,0,32,0,0,0,32,1,31,0,38,4,0,3,28,3,12,0,12,0,22,195,154,41,528,192,336,0,134,0,0,0,0,0,0,0,0,0,134,7,207,0,0,17,0,278,0,538,249,0,2567,5113
Andhra Pradesh,Cuddapah,2014,80,162,1,0,28,0,0,0,28,0,28,4,27,0,0,0,11,16,3,0,3,0,16,144,144,0,638,193,445,0,104,0,0,104,0,0,0,0,0,0,0,86,163,0,0,16,212,91,0,417,948,0,2604,5772
Andhra Pradesh,East Godavari,2014,64,84,2,0,85,0,0,0,85,0,85,18,66,0,0,0,0,66,3,0,3,0,24,346,295,51,903,347,556,0,27,0,0,0,0,0,0,0,0,0,27,96,214,0,0,7,159,464,0,668,39,0,3791,7145
Andhra Pradesh,Guntakal Railway,2014,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,413,0,413,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,4,1,0,37,485
Andhra Pradesh,Guntur,2014,105,137,4,0,49,0,0,0,49,0,49,24,64,12,2,0,0,50,5,0,5,0,24,210,155,55,711,200,511,0,78,0,0,0,6,6,0,0,0,0,72,22,328,16,0,16,17,454,0,494,846,0,2606,6259
Andhra Pradesh,Guntur Urban,2014,51,65,0,0,40,0,0,0,40,1,39,8,84,0,0,0,0,84,5,0,5,0,31,173,121,52,1045,367,678,0,8,0,0,0,0,0,0,0,0,0,8,23,531,22,0,12,0,345,0,226,691,0,1740,5141
Andhra Pradesh,Krishna,2014,51,47,1,0,80,0,0,0,80,1,79,20,41,20,0,0,19,2,0,0,0,0,15,302,247,55,521,141,380,0,9,0,0,0,0,0,0,0,0,0,9,24,242,0,0,8,98,613,0,418,70,0,3942,6583
Andhra Pradesh,Kurnool,2014,118,135,5,0,32,0,0,0,32,1,31,4,53,4,0,1,16,32,3,0,3,0,28,244,170,74,563,9,554,0,108,4,0,1,9,9,0,0,0,0,94,20,639,0,0,12,81,362,0,506,1313,0,3522,7781
Andhra Pradesh,Nellore,2014,78,117,4,0,58,0,0,0,58,3,55,16,153,71,1,1,64,16,8,0,8,0,44,381,323,58,1058,362,696,0,84,0,0,10,0,0,0,0,0,0,74,255,239,32,1,14,79,362,0,466,1173,1,3037,7721
Andhra Pradesh,Prakasham,2014,75,68,7,0,50,0,0,0,50,2,48,8,50,17,0,0,11,22,5,0,5,0,23,247,195,52,617,209,408,31,124,0,0,4,0,0,0,0,0,0,120,98,261,48,0,8,24,402,0,502,785,0,2687,6172
Andhra Pradesh,Rajahmundry,2014,18,18,1,0,35,0,0,0,35,1,34,3,15,5,0,1,2,7,3,0,3,0,14,214,195,19,361,155,206,0,16,2,0,0,2,2,0,0,0,0,12,56,105,7,0,3,37,190,0,128,394,0,657,2311
Andhra Pradesh,Srikakulam,2014,30,29,4,0,40,0,0,0,40,1,39,3,33,26,1,0,5,1,0,0,0,0,8,152,131,21,236,52,184,0,17,0,0,10,0,0,0,0,0,0,7,12,153,10,1,3,26,298,0,284,895,0,2123,4398
Andhra Pradesh,Tirupathi Urban,2014,35,72,2,0,18,0,0,0,18,1,17,5,24,3,0,0,9,12,2,0,2,0,8,227,178,49,1148,482,666,0,31,0,0,0,0,0,0,0,0,0,31,11,248,0,0,13,2,167,0,223,429,0,886,3570
Andhra Pradesh,Vijayawada City,2014,23,45,1,1,64,0,0,0,64,0,64,4,42,13,1,1,11,16,3,1,2,0,48,345,106,239,2016,685,1331,25,2,0,0,0,0,0,0,0,0,0,2,68,391,46,0,10,40,642,0,312,1366,1,1835,7394
Andhra Pradesh,Vijayawada Railway,2014,1,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,1085,3,1082,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,2,4,1,0,1,0,0,59,1173
Andhra Pradesh,Visakha Rural,2014,43,50,4,0,38,0,0,0,38,0,38,0,24,18,0,0,2,4,5,0,5,0,5,88,88,0,179,57,122,0,14,0,1,4,2,2,0,0,0,0,7,6,90,2,0,4,35,166,0,308,507,0,1236,2842
Andhra Pradesh,Visakhapatnam,2014,38,57,0,0,84,0,0,0,84,0,84,0,130,130,0,0,0,0,4,0,4,0,46,392,334,58,1358,401,957,0,3,0,0,3,0,0,0,0,0,0,0,71,413,3,1,13,50,371,0,360,1831,0,2202,7511
Andhra Pradesh,Vizianagaram,2014,43,23,1,0,47,0,0,0,47,1,46,1,27,0,0,0,0,27,2,0,2,0,4,176,0,176,388,92,296,0,13,0,0,0,0,0,0,0,0,0,13,14,149,0,0,8,0,330,0,272,913,0,1990,4449
Andhra Pradesh,West Godavari,2014,90,85,4,0,146,0,0,0,146,1,145,46,67,29,0,0,8,30,4,0,4,1,32,468,359,109,1096,353,743,3,26,4,0,3,0,0,0,0,0,0,19,52,410,13,1,24,126,661,0,614,1165,0,2866,8146
Arunachal Pradesh,Anjaw,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,0,0,12,27
Arunachal Pradesh,Changlang,2014,9,3,0,0,6,0,0,0,6,0,6,0,11,0,0,0,6,5,1,0,1,0,5,18,18,0,50,4,46,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,9,0,23,146
Arunachal Pradesh,Crime Branch,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4
Arunachal Pradesh,Dibang Valley,2014,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Arunachal Pradesh,Kameng East,2014,4,1,0,0,1,0,0,0,1,0,1,0,7,0,0,1,0,6,2,0,2,0,4,8,0,8,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,66,116
Arunachal Pradesh,Kameng West,2014,7,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,0,1,0,3,4,4,0,21,10,11,0,8,0,0,8,0,0,0,0,0,0,0,3,3,0,0,0,8,2,0,10,15,0,35,125
Arunachal Pradesh,Kukung Kumey,2014,4,1,0,0,3,1,0,1,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,5,5,0,5,1,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,13,39
Arunachal Pradesh,Lohit,2014,10,4,0,0,7,0,0,0,7,0,7,0,25,0,0,0,0,25,1,0,1,0,8,32,32,0,39,6,33,0,3,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,1,0,16,0,0,89,249
Arunachal Pradesh,Longding,2014,4,3,1,0,3,3,0,3,0,0,0,0,9,5,0,0,4,0,1,0,1,0,1,9,9,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,29,69
Arunachal Pradesh,Lower Dibang Valley,2014,2,5,0,0,3,0,0,0,3,0,3,0,4,4,0,0,0,0,1,0,1,0,1,10,10,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,0,5,65
Arunachal Pradesh,Papum Pare City,2014,13,5,1,0,32,0,0,0,32,2,30,2,52,35,0,2,1,14,0,0,0,0,11,36,16,20,154,105,49,0,6,0,0,0,0,0,0,0,4,0,2,8,49,7,0,1,1,21,0,22,29,0,111,595
Arunachal Pradesh,Papum Pare Rural,2014,7,3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,0,2,0,2,0,3,6,6,0,20,6,14,0,2,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,4,0,0,20,79
Arunachal Pradesh,Siang East,2014,5,0,1,0,11,0,0,0,11,1,10,3,4,1,0,1,0,2,0,0,0,0,3,20,20,0,49,12,37,5,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,8,4,0,10,14,0,48,205
Arunachal Pradesh,Siang Upper,2014,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8,8,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,12,37
Arunachal Pradesh,Siang West,2014,10,4,0,0,6,0,0,0,6,0,6,3,2,0,1,0,0,1,0,0,0,0,4,18,18,0,29,4,25,0,4,0,0,2,0,0,0,0,0,0,2,7,13,2,0,0,0,8,0,6,13,0,71,206
Arunachal Pradesh,Subansiri Lower,2014,4,3,1,0,1,0,0,0,1,1,0,0,7,0,0,0,0,7,1,0,1,0,10,22,22,0,18,4,14,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,43,124
Arunachal Pradesh,Subansiri Upper,2014,3,2,0,0,5,0,0,0,5,0,5,1,2,0,0,0,2,0,1,0,1,0,5,11,11,0,33,2,31,0,4,0,0,3,0,0,0,0,0,0,1,3,5,2,0,0,0,3,0,2,16,0,85,188
Arunachal Pradesh,Tawang,2014,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,35
Arunachal Pradesh,Tirap,2014,2,10,0,0,3,0,0,0,3,0,3,0,10,3,0,3,2,2,0,0,0,0,3,9,9,0,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,42,102
Assam,Barpeta,2014,46,68,0,0,143,0,0,0,143,0,143,0,379,0,0,0,359,20,9,0,9,0,5,357,217,140,448,116,332,133,306,0,0,0,0,0,0,0,0,0,306,158,260,8,0,21,198,1116,0,70,309,0,4118,8295
Assam,Baska,2014,31,28,0,0,26,0,0,0,26,0,26,0,41,0,0,0,36,5,5,0,5,0,16,42,42,0,124,34,90,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,4,0,77,0,53,31,0,130,662
Assam,Bongaigaon,2014,17,23,0,0,31,0,0,0,31,0,31,0,51,0,0,0,29,22,3,0,3,0,12,84,84,0,190,108,82,0,15,0,0,0,0,0,0,0,0,0,15,7,55,0,0,4,0,178,0,77,85,0,838,1701
Assam,Cachar,2014,58,7,0,0,81,0,0,0,81,0,81,0,249,0,0,0,214,35,9,0,9,0,24,274,274,0,756,123,633,0,202,0,0,0,0,0,0,0,0,0,202,72,97,0,0,14,0,595,0,121,404,0,2507,5551
Assam,Chirang,2014,37,19,1,0,29,0,0,0,29,1,28,5,58,0,0,0,42,16,3,0,3,1,6,39,39,0,95,40,55,0,19,0,0,0,0,0,0,0,0,0,19,13,33,1,0,7,0,60,0,18,0,0,261,734
Assam,Darrang,2014,33,2,0,0,111,0,0,0,111,3,108,23,208,0,0,0,186,22,6,1,5,0,17,174,174,0,363,56,307,0,82,0,0,0,0,0,0,0,0,0,82,35,211,3,0,11,33,489,0,28,236,2,927,3108
Assam,Dhemaji,2014,18,5,2,0,45,0,0,0,45,5,40,12,84,0,0,2,68,14,3,0,3,0,15,26,26,0,106,35,71,0,0,0,0,0,0,0,0,0,0,0,0,13,52,0,0,3,3,111,0,50,25,5,269,897
Assam,Dhubri,2014,58,143,1,0,193,0,0,0,193,0,193,0,420,0,0,0,405,15,23,0,23,2,21,280,280,0,432,113,319,265,531,0,0,0,0,0,0,0,0,0,531,187,272,0,0,10,0,1186,0,103,0,0,1040,5358
Assam,Dibrugarh,2014,77,7,2,0,67,0,0,0,67,0,67,0,163,0,0,0,123,40,6,0,6,0,43,150,150,0,826,39,787,2,12,0,0,0,0,0,0,0,0,0,12,81,40,2,0,5,0,253,0,104,0,0,791,2698
Assam,G. R. P.,2014,9,0,0,0,1,0,0,0,1,0,1,0,10,0,0,0,0,10,3,0,3,0,2,2,2,0,187,13,174,0,5,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,89,311
Assam,Goalpara,2014,44,62,0,0,108,0,0,0,108,0,108,0,218,0,0,8,119,91,21,0,21,0,23,243,243,0,266,99,167,0,52,0,0,0,0,0,0,0,0,0,52,17,137,0,0,8,0,367,0,70,0,2,476,2222
