Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Dec,Jan,Feb,Mar,Apr,May
1,Utah Jazz,52-20,31-5,21-15,24-6,28-14,3-Jul,Oct-00,3-Jul,5-Jul,7-Aug,13-2,27-9,25-11,2-Mar,39-7,2-Feb,13-3,2-Dec,4-Sep,7-Sep,2-Jul
2,Phoenix Suns,51-21,27-9,24-12,21-9,30-12,3-Jul,2-Aug,4-Jun,4-Nov,5-Jul,3-Dec,24-11,27-10,3-Sep,23-8,1-Apr,7-Jun,3-Dec,3-Nov,4-Dec,3-Jun
3,Philadelphia 76ers,49-23,29-7,20-16,31-11,18-12,2-Oct,7-Aug,13-2,5-May,4-Jun,3-Jul,24-12,25-11,3-Jul,27-12,1-Apr,5-Nov,6-Jul,3-Oct,6-Oct,2-Jul
4,Brooklyn Nets,48-24,28-8,20-16,26-16,22-8,4-Aug,6-Sep,6-Sep,3-Jul,1-Sep,4-Jun,24-13,24-11,5-Mar,24-11,2-Mar,7-Oct,4-Sep,2-Nov,6-Oct,3-May
5,Denver Nuggets,47-25,25-11,22-14,21-9,26-16,5-May,1-Sep,3-Jul,3-Sep,9-Jun,4-Nov,21-15,26-10,4-Jun,29-11,3-Jan,5-Nov,7-Jun,3-Nov,13-3,4-May
6,Los Angeles Clippers,47-25,26-10,21-15,20-10,27-15,6-Apr,1-Sep,3-Jul,5-Oct,3-Sep,7-Aug,24-14,23-11,4-Mar,31-7,1-Apr,4-Dec,7-Aug,5-Aug,4-Nov,4-Apr
7,Milwaukee Bucks,46-26,26-10,20-16,30-12,16-14,7-Aug,1-Nov,4-Nov,4-Jun,5-May,5-May,22-14,24-12,5-Jun,29-12,3-Feb,5-Sep,5-Oct,4-Sep,7-Sep,2-Jul
8,Dallas Mavericks,42-30,21-15,21-15,21-9,21-21,4-Jun,4-Jun,1-Sep,7-Aug,9-Jun,5-Jul,18-16,24-14,4-May,26-17,3-Jan,9-Jul,4-Aug,5-Sep,6-Oct,3-Jul
9,Los Angeles Lakers,42-30,21-15,21-15,17-13,25-17,6-Apr,2-Aug,5-May,5-Oct,8-Apr,4-Nov,24-13,18-17,5-Jul,22-13,2-Mar,4-Dec,5-Sep,7-Jun,9-Jun,3-Jun
10,Portland Trail Blazers,42-30,20-16,22-14,19-11,23-19,3-Jul,4-Jun,4-Jun,6-Jun,8-Jul,5-Oct,21-14,21-16,9-Oct,19-12,2-Feb,6-Aug,6-Aug,4-Nov,10-Jun,2-Jul
11,Atlanta Hawks,41-31,25-11,16-20,24-18,17-13,8-Jul,7-Aug,3-Sep,5-May,4-Jun,4-Jun,16-20,25-11,3-Mar,25-15,1-Mar,8-Jul,11-Apr,4-Sep,6-Nov,1-Jul
12,New York Knicks,41-31,25-11,16-20,25-17,16-14,8-Apr,4-Nov,5-Oct,6-Apr,6-Apr,2-Aug,19-18,22-13,9-Feb,24-15,3-Feb,9-Jul,5-Sep,7-Jun,4-Nov,3-Jun
13,Miami Heat,40-32,21-15,19-17,24-18,16-14,6-Sep,6-Sep,6-Jun,5-May,5-May,4-Jun,18-18,22-14,5-Apr,17-17,2-Feb,10-May,5-Oct,7-Jul,6-Sep,2-Jul
14,Golden State Warriors,39-33,25-11,14-22,14-16,25-17,7-Mar,2-Aug,7-Mar,5-Oct,7-May,5-Oct,19-18,20-15,4-Jun,25-18,2-Feb,7-Sep,7-Aug,8-Apr,8-Aug,1-Aug
15,Memphis Grizzlies,38-34,18-18,20-16,19-11,19-23,4-Jun,5-May,2-Aug,8-Jul,9-Jun,6-Jun,16-16,22-18,7-Mar,23-21,3-Jan,3-Jul,9-Jul,8-Jul,7-Oct,4-Jun
16,Boston Celtics,36-36,21-15,15-21,20-22,16-14,8-Apr,8-Jul,6-Sep,4-Jun,4-Jun,6-Apr,19-17,17-19,5-Jul,17-12,2-Mar,6-Jul,9-Jul,8-Jun,5-Nov,6-Feb
17,Washington Wizards,34-38,19-17,15-21,16-26,18-12,11-Apr,6-Sep,9-Mar,1-Sep,3-Jul,8-Feb,14-20,20-18,8-Nov,14-20,0-5,7-Apr,7-Sep,10-Apr,5-Dec,4-May
18,Indiana Pacers,34-38,13-23,21-15,20-22,14-16,10-May,5-Jul,7-Aug,5-May,8-Feb,3-Jul,16-19,18-19,4-May,15-17,1-Apr,8-Jul,8-Apr,8-Jun,8-Aug,5-May
19,Charlotte Hornets,33-39,18-18,15-21,20-22,13-17,11-Apr,7-Aug,4-Aug,6-Apr,6-Apr,5-May,17-18,16-21,4-Sep,14-24,2-Feb,9-Jul,6-Jul,5-Aug,10-Jun,7-Mar
20,San Antonio Spurs,33-39,14-22,19-17,16-14,17-25,7-Mar,3-Jul,4-Jun,10-May,9-Jun,6-Jun,18-14,15-25,8-Jul,18-20,2-Feb,7-Sep,3-Jun,9-Jul,10-Jul,8-Feb
21,Chicago Bulls,31-41,15-21,16-20,21-21,20-Oct,8-Jul,5-Jul,8-Jul,7-Mar,9-Jan,4-Jun,16-18,15-23,5-Mar,16-20,3-Feb,8-May,6-Aug,10-Apr,10-Jul,4-May
22,New Orleans Pelicans,31-41,18-18,13-23,13-17,18-24,5-May,5-May,7-Mar,10-May,8-Jul,6-Jun,15-21,16-20,10-Mar,13-21,2-Mar,9-Apr,8-Jul,6-Jul,10-Jul,6-Mar
23,Sacramento Kings,31-41,16-20,15-21,13-17,18-24,6-Apr,4-Jun,7-Mar,8-Jul,7-May,9-Jun,14-22,17-19,5-Oct,22-Dec,2-Mar,9-May,10-May,5-Sep,11-Apr,4-May
24,Toronto Raptors,27-45,16-20,25-Nov,17-25,20-Oct,8-Apr,10-May,7-Aug,7-Mar,7-Mar,6-Apr,17-19,26-Oct,6-Mar,17-19,3-Jan,9-Jul,5-Sep,13-Jan,7-Aug,8-Jan
25,Minnesota Timberwolves,23-49,13-23,26-Oct,22-Aug,15-27,8-Feb,6-Apr,8-Feb,7-May,11-Apr,9-Jun,29-Jul,16-20,6-Apr,25-Sep,2-Feb,12-Mar,14-Feb,8-May,8-Aug,5-Mar
26,Cleveland Cavaliers,22-50,13-23,27-Sep,16-26,24-Jun,7-Aug,8-Apr,11-Apr,8-Feb,0-10,6-Apr,14-22,28-Aug,2-Apr,Nov-37,2-Mar,9-Jun,10-Apr,9-Apr,12-Apr,8-Jan
27,Oklahoma City Thunder,22-50,26-Oct,24-Dec,20-Oct,30-Dec,6-Apr,7-Mar,7-Mar,9-Mar,13-Feb,8-Jul,15-21,29-Jul,5-Jul,May-36,3-Jan,7-Jul,10-Jun,7-Jun,15-Jan,8-Jan
28,Orlando Magic,21-51,25-Nov,26-Oct,13-29,22-Aug,13-Feb,8-Jul,8-Apr,8-Feb,6-Apr,8-Feb,13-23,28-Aug,5-Mar,Jun-35,1-Apr,12-Apr,8-May,10-Mar,13-Mar,7-Feb
29,Detroit Pistons,20-52,13-23,29-Jul,30-Dec,22-Aug,8-Jul,11-Jan,11-Apr,8-Feb,7-Mar,7-Mar,26-Oct,26-Oct,8-Jan,14-31,0-4,11-May,10-Apr,9-Apr,10-Jun,8-Jan
30,Houston Rockets,17-55,27-Sep,28-Aug,24-Jun,Nov-31,9-Jan,8-Feb,7-Mar,12-Mar,12-Mar,7-May,23-Nov,Jun-32,4-Mar,Aug-37,2-Jan,7-Aug,12-Feb,13-Feb,13-Mar,8-Jan
,,,,,,,,,,,,,,,,,,,,,,
